2026-04-18 23:26:16 | DEBUG    | logging:callHandlers:1737 - Using proactor: IocpProactor
2026-04-18 23:26:16 | INFO     | __main__:run_migration:16 - Starting data migration to JSONB...
2026-04-18 23:26:38 | DEBUG    | logging:callHandlers:1737 - Using proactor: IocpProactor
2026-04-18 23:26:38 | INFO     | __main__:run_migration:17 - Starting data migration to JSONB...
2026-04-18 23:26:38 | DEBUG    | logging:callHandlers:1737 - executing <function connect.<locals>.connector at 0x000001F17FF989E0>
2026-04-18 23:26:38 | DEBUG    | logging:callHandlers:1737 - returning exception Connection() got an unexpected keyword argument 'prepared_statement_cache_size'
2026-04-18 23:26:38 | DEBUG    | logging:callHandlers:1737 - executing <function Connection.stop.<locals>.close_and_stop at 0x000001F17FF98B40>
2026-04-18 23:26:38 | ERROR    | __main__:run_migration:76 - Migration failed! Rolled back. Error: Connection() got an unexpected keyword argument 'prepared_statement_cache_size'
2026-04-18 23:26:38 | DEBUG    | logging:callHandlers:1737 - operation <function Connection.stop.<locals>.close_and_stop at 0x000001F17FF98B40> completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - Using proactor: IocpProactor
2026-04-18 23:27:09 | INFO     | __main__:run_migration:17 - Starting data migration to JSONB...
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing <function connect.<locals>.connector at 0x0000023330588A90>
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation <function connect.<locals>.connector at 0x0000023330588A90> completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000023330598E50>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x00000233305680F0>, deterministic=True)
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000023330598E50>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x00000233305680F0>, deterministic=True) completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000023330598E50>, 'floor', 1, <built-in function floor>, deterministic=True)
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000023330598E50>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000023330598E50>)
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000023330598E50>) completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002333055EF40>, 'PRAGMA read_uncommitted', [])
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000002333055EF40>, 'PRAGMA read_uncommitted', []) completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002333055EF40>)
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002333055EF40>) completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002333055EF40>)
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002333055EF40>) completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x0000023330598E50>)
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x0000023330598E50>) completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000023330598E50>)
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000023330598E50>) completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x0000023330627340>, 'SELECT schedule_legacy.id, schedule_legacy.group_name, schedule_legacy.day, schedule_legacy.lesson_number, schedule_legacy.subject, schedule_legacy.teacher, schedule_legacy.room, schedule_legacy.start_time, schedule_legacy.end_time, schedule_legacy.raw_text, schedule_legacy.is_change, schedule_legacy.is_published, schedule_legacy.updated_by, schedule_legacy.version, schedule_legacy.updated_at \nFROM schedule_legacy ORDER BY schedule_legacy.group_name, schedule_legacy.day, schedule_legacy.lesson_number', ())
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - returning exception no such column: schedule_legacy.is_published
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x0000023330598E50>)
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x0000023330598E50>) completed
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x0000023330598E50>)
2026-04-18 23:27:09 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x0000023330598E50>) completed
2026-04-18 23:27:09 | ERROR    | __main__:run_migration:76 - Migration failed! Rolled back. Error: (sqlite3.OperationalError) no such column: schedule_legacy.is_published
[SQL: SELECT schedule_legacy.id, schedule_legacy.group_name, schedule_legacy.day, schedule_legacy.lesson_number, schedule_legacy.subject, schedule_legacy.teacher, schedule_legacy.room, schedule_legacy.start_time, schedule_legacy.end_time, schedule_legacy.raw_text, schedule_legacy.is_change, schedule_legacy.is_published, schedule_legacy.updated_by, schedule_legacy.version, schedule_legacy.updated_at 
FROM schedule_legacy ORDER BY schedule_legacy.group_name, schedule_legacy.day, schedule_legacy.lesson_number]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - Using proactor: IocpProactor
2026-04-18 23:27:36 | INFO     | __main__:run_migration:17 - Starting data migration to JSONB...
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - executing <function connect.<locals>.connector at 0x000001BFF0128720>
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - operation <function connect.<locals>.connector at 0x000001BFF0128720> completed
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001BFF0130F40>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001BFF0108040>, deterministic=True)
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001BFF0130F40>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001BFF0108040>, deterministic=True) completed
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001BFF0130F40>, 'floor', 1, <built-in function floor>, deterministic=True)
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001BFF0130F40>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001BFF0130F40>)
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001BFF0130F40>) completed
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001BFF00FE840>, 'PRAGMA read_uncommitted', [])
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001BFF00FE840>, 'PRAGMA read_uncommitted', []) completed
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001BFF00FE840>)
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001BFF00FE840>) completed
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001BFF00FE840>)
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001BFF00FE840>) completed
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001BFF0130F40>)
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001BFF0130F40>) completed
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001BFF0130F40>)
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001BFF0130F40>) completed
2026-04-18 23:27:36 | DEBUG    | logging:callHandlers:1737 - executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001BFF00FF0C0>, 'SELECT * FROM schedule_legacy ORDER BY group_name, day, lesson_number', ())
